iter	Logloss
0	0.6907830601
1	0.6887913564
2	0.6868190145
3	0.6849978841
4	0.6831577438
5	0.68133444
6	0.6796091205
7	0.6782462164
8	0.6766105731
9	0.6752669484
10	0.6740129159
11	0.6726789441
12	0.6715951658
13	0.6707126347
14	0.669663563
15	0.6684774671
16	0.6676171544
17	0.6666302505
18	0.6656231152
19	0.6650133929
20	0.6641999757
21	0.6635005842
22	0.6625945469
23	0.6617722367
24	0.6611976009
25	0.6606299951
26	0.6599094509
27	0.6591828942
28	0.6584833818
29	0.6580311539
30	0.6574099252
31	0.6568540079
32	0.6563613254
33	0.6558510021
34	0.6553114199
35	0.6547801061
36	0.6542639351
37	0.6537316095
38	0.6532560224
39	0.652953054
40	0.6526345664
41	0.6521813755
42	0.6517405619
43	0.6513493925
44	0.651038949
45	0.6506617478
46	0.6503069627
47	0.6499643697
48	0.6496160795
49	0.6493414158
50	0.6490252729
51	0.6487460396
52	0.6484469793
53	0.6481813659
54	0.6478923235
55	0.6477189324
56	0.6474281856
57	0.6471506199
58	0.6468011437
59	0.6465945131
60	0.6464572113
61	0.6462284921
62	0.6459534701
63	0.6457708811
64	0.6454801686
65	0.6452009677
66	0.6449586476
67	0.6447577457
68	0.6445750942
69	0.6443993881
70	0.6441819648
71	0.6439989479
72	0.6438055082
73	0.6435851007
74	0.6434563031
75	0.6432561367
76	0.6430915097
77	0.6429903343
78	0.6428124763
79	0.6426556268
80	0.6424961352
81	0.6423273431
82	0.6422007543
83	0.6420625171
84	0.641863859
85	0.6417741663
86	0.6416169033
87	0.6414800116
88	0.6413289527
89	0.6411544045
90	0.6410785282
91	0.6409139875
92	0.6407746927
93	0.6406478265
94	0.6405314118
95	0.6404563875
96	0.6403380838
97	0.6402497738
98	0.6401643504
99	0.6400908992
100	0.6399943596
101	0.6397982637
102	0.6396931313
103	0.6396039219
104	0.6394802905
105	0.6393807873
106	0.6393447885
107	0.6392339075
108	0.6391422866
109	0.6390039731
110	0.6389037174
111	0.638820538
112	0.6387486461
113	0.6386655056
114	0.6385666254
115	0.6384426862
116	0.6383143764
117	0.6381611755
118	0.6380668684
119	0.6380208124
120	0.6379372874
121	0.6378867657
122	0.6378250446
123	0.6377641004
124	0.6376228761
125	0.6375383033
126	0.6374715813
127	0.637305239
128	0.6371816819
129	0.637074522
130	0.6369924859
131	0.6369125496
132	0.6368175964
133	0.6367181849
134	0.6366678562
135	0.6365980929
136	0.6365609491
137	0.6364938418
138	0.6364190459
139	0.6363588242
140	0.6362867119
141	0.6362170054
142	0.6361682293
143	0.6360940751
144	0.6360070513
145	0.6359741198
146	0.6359132562
147	0.6358368274
148	0.635782511
149	0.6357429344
150	0.6356888067
151	0.6356121917
152	0.6354982291
153	0.6354402166
154	0.6353464128
155	0.6352508003
156	0.6352023144
157	0.635111715
158	0.6350861427
159	0.6349749602
160	0.6348992349
161	0.6348817839
162	0.6348281514
163	0.6348135302
164	0.6347519741
165	0.6347020544
166	0.6346383952
167	0.6345532557
168	0.6344826374
169	0.6343930497
170	0.6343704349
171	0.6343323701
172	0.6342871383
173	0.6342337583
174	0.6341901365
175	0.6341901365
176	0.6340348831
177	0.633991491
178	0.6339665166
179	0.6339081141
180	0.6338651534
181	0.6338472085
182	0.6338110268
183	0.633799947
184	0.6337620434
185	0.6337248664
186	0.6336331199
187	0.633598037
188	0.6334983239
189	0.6334578715
190	0.6334392854
191	0.6333162278
192	0.6332488528
193	0.633185058
194	0.6331219376
195	0.6330907889
196	0.6330043334
197	0.6329425945
198	0.632881103
199	0.6328232372
200	0.6327690794
201	0.6326710082
202	0.6326219014
203	0.6325683462
204	0.6325290599
205	0.6324733042
206	0.6324060721
207	0.6323014475
208	0.6322718074
209	0.6322570349
210	0.6322145006
211	0.6321826028
212	0.6321293991
213	0.6320637671
214	0.6320365346
215	0.6319606096
216	0.6319176934
217	0.6318450803
218	0.6318160667
219	0.6317752917
220	0.6317143369
221	0.631667416
222	0.6316116359
223	0.6315322681
224	0.631512017
225	0.6314709308
226	0.6313889324
227	0.6313763232
228	0.6313374927
229	0.6313374914
230	0.631294948
231	0.6312178113
232	0.6312178112
233	0.6311833676
234	0.6310715402
235	0.6309665073
236	0.6309156654
237	0.6308695302
238	0.6307822497
239	0.6307034739
240	0.6306102375
241	0.6306092747
242	0.6305280762
243	0.6304798296
244	0.6304697765
245	0.6304213366
246	0.6303834077
247	0.6302937365
248	0.6302499533
249	0.6302110297
250	0.6302110289
251	0.6301708608
252	0.6301059561
253	0.6300798665
254	0.6300149841
255	0.629965243
256	0.6298968305
257	0.6298280015
258	0.6297518919
259	0.6296894005
260	0.629682947
261	0.6296354171
262	0.6296065191
263	0.6295761415
264	0.6294741766
265	0.6294502502
266	0.6294205803
267	0.6293481389
268	0.6293205841
269	0.6292462988
270	0.6291795274
271	0.6291429576
272	0.6291343615
273	0.6290806994
274	0.6290779961
275	0.6290351788
276	0.6289743385
277	0.6289190134
278	0.6288932132
279	0.628813554
280	0.6287601545
281	0.6286865677
