iter	Passed	Remaining
0	67	20182
1	135	20234
2	209	20761
3	277	20554
4	347	20504
5	421	20631
6	494	20688
7	592	21616
8	694	22451
9	771	22362
10	847	22269
11	918	22032
12	991	21899
13	1058	21621
14	1121	21313
15	1186	21055
16	1254	20878
17	1322	20722
18	1387	20519
19	1441	20185
20	1500	19937
21	1568	19826
22	1634	19682
23	1700	19559
24	1770	19476
25	1836	19354
26	1904	19260
27	1963	19069
28	2029	18967
29	2093	18843
30	2166	18800
31	2235	18722
32	2302	18626
33	2364	18498
34	2432	18417
35	2497	18315
36	2562	18212
37	2629	18131
38	2693	18028
39	2762	17954
40	2831	17886
41	2896	17795
42	2960	17696
43	3031	17635
44	3096	17545
45	3161	17455
46	3225	17362
47	3287	17259
48	3350	17160
49	3416	17084
50	3484	17013
51	3552	16944
52	3620	16872
53	3681	16771
54	3746	16690
55	3819	16641
56	3885	16565
57	3955	16504
58	4021	16426
59	4090	16361
60	4158	16292
61	4223	16210
62	4289	16135
63	4354	16057
64	4420	15981
65	4485	15901
66	4549	15822
67	4615	15747
68	4684	15681
69	4750	15607
70	4813	15524
71	4873	15433
72	4936	15349
73	5003	15280
74	5065	15195
75	5128	15114
76	5197	15053
77	5257	14963
78	5321	14887
79	5392	14829
80	5455	14749
81	5519	14673
82	5585	14603
83	5650	14530
84	5721	14472
85	5784	14393
86	5850	14324
87	5918	14257
88	5984	14188
89	6052	14123
90	6121	14059
91	6187	13988
92	6254	13920
93	6317	13845
94	6382	13771
95	6447	13700
96	6513	13632
97	6569	13540
98	6636	13473
99	6703	13406
100	6770	13339
101	6845	13288
102	6913	13222
103	6981	13156
104	7081	13151
105	7154	13093
106	7213	13011
107	7280	12943
108	7355	12888
109	7425	12826
110	7498	12767
111	7564	12696
112	7626	12621
113	7693	12552
114	7762	12486
115	7828	12418
116	7897	12352
117	7967	12289
118	8035	12222
119	8084	12127
120	8153	12061
121	8225	12000
122	8291	11932
123	8361	11867
124	8434	11807
125	8503	11743
126	8570	11675
127	8640	11610
128	8711	11548
129	8788	11492
130	8859	11429
131	8928	11363
132	8997	11297
133	9070	11236
134	9141	11173
135	9214	11111
136	9287	11050
137	9365	10993
138	9438	10932
139	9509	10868
140	9581	10804
141	9653	10741
142	9726	10678
143	9798	10615
144	9867	10547
145	9936	10480
146	10012	10421
147	10083	10355
148	10154	10290
149	10215	10215
150	10290	10153
151	10363	10090
152	10437	10027
153	10510	9964
154	10582	9899
155	10657	9838
156	10734	9777
157	10803	9709
158	10879	9647
159	10954	9584
160	11023	9516
161	11074	9433
162	11143	9366
163	11194	9283
164	11268	9219
165	11344	9158
166	11419	9094
167	11492	9029
168	11568	8967
169	11636	8898
170	11701	8827
171	11773	8762
172	11849	8698
173	11917	8630
174	11987	8562
175	12030	8476
176	12101	8409
177	12169	8340
178	12231	8267
179	12304	8202
180	12372	8134
181	12426	8056
182	12496	7989
183	12545	7909
184	12612	7840
185	12679	7771
186	12743	7700
187	12815	7634
188	12883	7566
189	12953	7499
190	13015	7427
191	13134	7388
192	13211	7324
193	13291	7262
194	13367	7197
195	13442	7132
196	13518	7067
197	13590	7001
198	13663	6934
199	13736	6868
200	13812	6803
201	13894	6740
202	13970	6675
203	14042	6608
204	14112	6539
205	14178	6469
206	14250	6402
207	14320	6333
208	14391	6266
209	14443	6190
210	14521	6125
211	14593	6057
212	14668	5991
213	14740	5923
214	14814	5856
215	14883	5787
216	14956	5720
217	15029	5653
218	15100	5585
219	15177	5518
220	15251	5452
221	15323	5384
222	15392	5315
223	15461	5245
224	15522	5174
225	15594	5106
226	15666	5038
227	15736	4969
228	15812	4902
229	15860	4827
230	15935	4759
231	16012	4693
232	16057	4617
233	16138	4551
234	16239	4491
235	16309	4422
236	16381	4354
237	16456	4286
238	16524	4217
239	16592	4148
240	16660	4078
241	16713	4005
242	16784	3936
243	16857	3868
244	16907	3795
245	16977	3726
246	17048	3658
247	17121	3590
248	17191	3521
249	17259	3451
250	17303	3377
251	17381	3310
252	17456	3242
253	17531	3174
254	17605	3106
255	17680	3038
256	17753	2970
257	17833	2903
258	17907	2834
259	17979	2766
260	18031	2694
261	18101	2625
262	18172	2556
263	18243	2487
264	18318	2419
265	18392	2350
266	18461	2281
267	18537	2213
268	18614	2145
269	18686	2076
270	18761	2007
271	18828	1938
272	18891	1868
273	18963	1799
274	19022	1729
275	19128	1663
276	19211	1595
277	19292	1526
278	19368	1457
279	19442	1388
280	19513	1319
281	19585	1250
