customer_id,age,income,credit_score,months_on_book,current_limit,avg_monthly_spend,utilization_rate,num_late_payments_12m,debt_to_income,num_credit_inquiries_6m,employment_status,account_type,limit_increase_treatment,spend_change_pct,defaulted_next_12m,spend_to_income_ratio,limit_to_income_ratio,late_payment_rate,tenure_years,risk_flag_high_utilization,credit_score_bucket,credit_score_x_dti,spend_to_monthly_income,inquiries_per_month_on_book,is_new_account,high_risk_combo,debt_burden_index,credit_score_x_income,payment_behavior_score,spending_headroom,dti_x_utilization,risk_composite,income_x_tenure,utilization_squared
CUST_000000,46.0,624179.19,762.0,45,82067.49,22541.1,0.275,1,0.1,1,self_employed,standard,0,11.98,1,0.43335824765320996,0.131480657020943,0.08333333333333333,3.75,0,excellent,685.8000000000001,0.43335824765320996,0.021739130434782608,0,0,0.027500000000000004,475624542.78,0.16666666666666666,0.725,0.027500000000000004,0.12573273657289002,28088063.549999997,0.07562500000000001
CUST_000001,38.0,580213.43,674.0,43,27510.49,15503.16,0.564,3,0.084,3,employed,standard,0,10.65,0,0.3206370455782107,0.04741443161699997,0.25,3.5833333333333335,0,good,617.384,0.3206370455782107,0.06818181818181818,0,0,0.047376,391063851.82000005,0.5,0.43600000000000005,0.047376,0.24023582887700534,24949177.490000002,0.31809599999999993
CUST_000002,48.0,916489.45,615.0,165,65363.46,31145.67,0.476,0,0.164,1,employed,premium,1,20.94,0,0.4078039741755893,0.07131938070863773,0.0,13.75,0,fair,514.14,0.4078039741755892,0.006024096385542169,0,0,0.078064,563641011.75,0.08333333333333333,0.524,0.078064,0.21974358610914246,151220759.25,0.22657599999999997
CUST_000003,58.0,1190369.13,764.0,136,35967.85,19930.78,0.554,0,0.64,2,employed,standard,0,2.4,0,0.20092033132613243,0.030215711323091855,0.0,11.333333333333334,0,excellent,275.03999999999996,0.20092033132613243,0.014598540145985401,0,0,0.35456000000000004,909442015.3199999,0.16666666666666666,0.44599999999999995,0.35456000000000004,0.30261279519106915,161890201.67999998,0.3069160000000001
CUST_000004,37.0,813483.66,673.0,151,41618.44,14317.46,0.344,0,0.06,2,unemployed,standard,1,9.42,0,0.21120217706646988,0.05116075718103545,0.0,12.583333333333334,0,good,632.62,0.21120217706646988,0.013157894736842105,0,0,0.02064,547474503.1800001,0.16666666666666666,0.656,0.02064,0.14758637770897834,122836032.66000001,0.11833599999999998
CUST_000005,37.0,941467.11,648.0,109,50201.6,8914.62,0.178,1,0.295,0,employed,standard,1,15.46,0,0.11362631669628906,0.05332273370654446,0.08333333333333333,9.083333333333334,0,fair,456.84000000000003,0.11362631669628906,0.0,0,0,0.052509999999999994,610070687.28,0.08333333333333333,0.8220000000000001,0.052509999999999994,0.19314411764705883,102619914.99,0.031684
CUST_000006,59.0,541537.77,733.0,8,46177.8,3588.52,0.078,0,0.209,1,employed,standard,1,18.55,0,0.0795184424532383,0.085271614572701,0.0,0.6666666666666666,0,good,579.803,0.0795184424532383,0.1111111111111111,1,0,0.016302,396947185.41,0.08333333333333333,0.922,0.016302,0.12025522875816995,4332302.16,0.006084
CUST_000007,49.0,631865.71,713.0,126,21204.04,4495.9,0.212,0,0.168,0,retired,standard,1,33.52,0,0.08538333248056774,0.0335578267097292,0.0,10.5,0,good,593.216,0.08538333248056774,0.0,0,0,0.035616,450520251.22999996,0.0,0.788,0.035616,0.13275294117647057,79615079.46,0.044944
CUST_000008,34.0,1165405.24,687.0,203,97822.12,46717.21,0.478,1,0.231,2,self_employed,standard,0,16.33,0,0.4810399857134674,0.08393828742352316,0.08333333333333333,16.916666666666668,0,good,528.303,0.48103998571346734,0.00980392156862745,0,0,0.110418,800633399.88,0.25,0.522,0.110418,0.22435980392156862,236577263.72,0.228484
CUST_000009,47.0,756925.53,644.0,5,86439.9,18767.76,0.217,0,0.12,2,employed,premium,1,25.82,0,0.2975366942637012,0.1141986847768234,0.0,0.4166666666666667,0,fair,566.72,0.29753669426370116,0.3333333333333333,1,0,0.026039999999999997,487460041.32,0.16666666666666666,0.783,0.026039999999999997,0.1794392156862745,3784627.6500000004,0.047089
