customer_id,age,income,credit_score,months_on_book,current_limit,avg_monthly_spend,utilization_rate,num_late_payments_12m,debt_to_income,num_credit_inquiries_6m,employment_status,account_type,limit_increase_treatment,spend_change_pct,defaulted_next_12m
CUST_000000,46.0,624179.19,762.0,45,82067.49,22541.1,0.275,1,0.1,1,self_employed,standard,0,11.98,1
CUST_000001,38.0,580213.43,674.0,43,27510.49,15503.16,0.564,3,0.084,3,employed,standard,0,10.65,0
CUST_000002,48.0,916489.45,615.0,165,65363.46,31145.67,0.476,0,0.164,1,employed,premium,1,20.94,0
CUST_000003,58.0,1190369.13,764.0,136,35967.85,19930.78,0.554,0,0.64,2,employed,standard,0,2.4,0
CUST_000004,37.0,813483.66,673.0,151,41618.44,14317.46,0.344,0,0.06,2,unemployed,standard,1,9.42,0
CUST_000005,37.0,941467.11,648.0,109,50201.6,8914.62,0.178,1,0.295,0,employed,standard,1,15.46,0
CUST_000006,59.0,541537.77,733.0,8,46177.8,3588.52,0.078,0,0.209,1,employed,standard,1,18.55,0
CUST_000007,49.0,631865.71,713.0,126,21204.04,4495.9,0.212,0,0.168,0,retired,standard,1,33.52,0
CUST_000008,34.0,1165405.24,687.0,203,97822.12,46717.21,0.478,1,0.231,2,self_employed,standard,0,16.33,0
CUST_000009,47.0,756925.53,644.0,5,86439.9,18767.76,0.217,0,0.12,2,employed,premium,1,25.82,0
CUST_000010,34.0,535569.83,665.0,68,45562.57,21997.16,0.483,3,0.097,1,employed,student,0,-4.57,0
CUST_000011,34.0,606007.57,709.0,185,78213.64,7431.39,0.095,2,0.066,0,employed,standard,0,2.85,0
CUST_000012,43.0,952378.75,660.0,235,40181.12,3662.14,0.091,2,0.352,0,self_employed,standard,1,38.6,0
CUST_000013,18.0,991329.4,665.0,92,29998.46,2974.56,0.099,1,0.085,1,employed,standard,0,5.9,0
CUST_000014,19.0,408824.39,632.0,33,50372.79,19263.65,0.382,0,0.232,1,employed,standard,0,2.76,0
CUST_000015,33.0,703037.89,729.0,69,27324.76,1506.3,0.055,2,0.264,2,employed,standard,1,38.24,0
CUST_000016,28.0,595091.66,648.0,36,66471.28,12458.99,0.187,0,0.203,1,unemployed,premium,1,20.71,0
CUST_000017,44.0,579840.8,709.0,39,34500.14,14349.77,0.416,0,0.047,2,employed,student,1,26.48,0
CUST_000018,29.0,1086680.92,682.0,125,22026.13,916.93,0.042,0,0.229,1,employed,standard,0,10.43,0
CUST_000019,23.0,536653.46,647.0,115,7993.6,2631.8,0.329,1,0.109,2,employed,standard,1,25.25,0
CUST_000020,58.0,460924.85,793.0,26,46003.46,2766.9,0.06,0,0.501,0,employed,premium,1,33.95,0
CUST_000021,37.0,413847.95,688.0,64,57546.65,7991.25,0.139,1,0.231,1,employed,standard,0,10.29,0
CUST_000022,41.0,552083.11,609.0,157,95689.91,18568.37,0.194,1,0.242,0,employed,standard,1,11.33,0
CUST_000023,23.0,428968.68,798.0,210,20588.64,6719.08,0.326,2,0.41,0,employed,premium,0,-3.61,1
CUST_000024,33.0,404678.5,749.0,136,81194.23,17925.5,0.221,0,0.09,2,employed,standard,0,5.89,0
CUST_000025,41.0,400117.46,651.0,229,38423.34,14069.51,0.366,1,0.242,3,employed,premium,1,27.58,0
CUST_000026,26.0,410961.9,685.0,196,47532.95,7601.73,0.16,1,0.321,1,employed,standard,0,25.33,0
CUST_000027,45.0,424057.96,731.0,91,49162.67,5664.34,0.115,1,0.247,1,self_employed,standard,1,39.23,0
CUST_000028,33.0,714668.25,711.0,221,48766.51,25585.97,0.525,0,0.281,2,employed,premium,1,12.28,0
CUST_000029,36.0,247213.56,738.0,24,17738.61,4134.12,0.233,0,0.154,2,employed,premium,0,-8.79,0
CUST_000030,33.0,435483.0,687.0,163,70117.0,13073.79,0.186,1,0.14,0,self_employed,premium,0,8.82,0
CUST_000031,62.0,570884.13,656.0,101,74403.66,37820.82,0.508,0,0.308,3,self_employed,standard,0,8.68,0
CUST_000032,40.0,1001371.46,688.0,49,79089.76,20804.85,0.263,0,0.385,2,employed,premium,0,-11.26,0
CUST_000033,27.0,534631.41,616.0,40,62551.03,23480.6,0.375,0,0.383,2,employed,standard,0,3.27,0
CUST_000034,50.0,557381.1,665.0,126,44198.21,23391.1,0.529,1,0.129,0,self_employed,student,0,1.45,0
CUST_000035,25.0,574022.56,683.0,123,23529.09,2064.7,0.088,2,0.34,1,employed,standard,1,19.82,0
CUST_000036,43.0,262850.46,704.0,89,61344.91,20245.81,0.33,1,0.401,0,employed,standard,0,9.75,0
CUST_000037,18.0,803387.06,783.0,24,49974.62,444.57,0.009,0,0.308,0,retired,student,1,34.36,0
